Site,DF,Sum of Sq.,R-squared,F,P(perm)
Bluefish DC,1,0.23,0.30,4.70,0.002
Bluefish UC,1,0.31,0.30,5.25,0.002
Butterfly DC,1,0.23,0.30,3.86,0.003
Butterfly UC,1,0.28,0.31,4.00,0.001
Cannery DC,1,0.23,0.25,2.71,0.007
Cannery UC,1,0.20,0.24,2.48,0.008
Hopkins DC,1,0.36,0.30,5.12,0.001
Hopkins UC,1,0.26,0.26,4.21,0.002
Lone tree,1,0.26,0.37,4.05,0.009
Lovers DC,1,0.28,0.27,3.36,0.011
Lovers UC,1,0.27,0.26,3.11,0.009
Macabee DC,1,0.36,0.29,4.44,0.001
Macabee UC,1,0.28,0.22,3.12,0.001
Monastery DC,1,0.25,0.26,4.19,0.001
Monastery UC,1,0.21,0.26,3.78,0.003
Otter Pt DC,1,0.29,0.27,3.64,0.003
Otter Pt UC,1,0.21,0.21,2.63,0.017
Pesdacero DC,1,0.31,0.30,5.22,0.001
Pesdcadero UC,1,0.31,0.31,4.96,0.003
Siren,1,0.23,0.26,3.46,0.001
Stillwater DC,1,0.30,0.28,4.35,0.002
Stillwater UC,1,0.29,0.26,3.88,0.005
Weston DC,1,0.26,0.32,4.61,0.003
Weston UC,1,0.28,0.28,4.72,0.001